gas_flow, plasma_energy, plasma_chemistry, temp, pressure, density, resist_thickness, power, variation
100,      200,           .500,             300,  20,       11001,   50,               95,     98
102,      210,           .499,             302,  21,       11050,   48,               95,     97
104,      212,           .488,             309,  22,       11100,   51,               96,     94
107,      214,           .487,             320,  24,       11089,   49,               98,     93
109,      218,           .486,             340,  27,       11004,   50,               99,     91
111,      219,           .485,             350,  29,       11010,   51,               100,    90
114,      223,           .481,             355,  31,       11001,   48,               102,    89 
120,      225,           .479,             357,  33,       11010,   47,               103,    88 
122,      227,           .478,             359,  34,       11030,   53,               105,    87 
130,      230,           .477,             364,  33,       11022,   52,               108,    87 
140,      233,           .476,             380,  37,       11030,   50,               109,    86 
144,      237,           .475,             390,  38,       10890,   50,               119,    85 
145,      239,           .474,             410,  39,       10788,   51,               120,    84 
147,      241,           .473,             430,  40,       10998,   52,               130,    83 
149,      244,           .472,             440,  41,       10899,   51,               133,    82 
150,      245,           .472,             470,  42,       10888,   51,               135,    81 
152,      288,           .471,             490,  41,       11001,   49,               137,    80 
153,      290,           .471,             510,  43,       11010,   49,               138,    79 
155,      288,           .470,             550,  44,       11014,   49,               139,    78 
